outer_test_participant,family,candidate_id,candidate_order,params,participant_mean_balanced_accuracy,n_validation_participants
S8,random_forest,"random_forest:max_depth=6,min_samples_leaf=2,class_weight=balanced",7,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 2}",0.840776182881446,14
S8,xgboost,"xgboost:max_depth=2,learning_rate=0.03,class_weight_mode=none",0,"{""class_weight_mode"": ""none"", ""learning_rate"": 0.03, ""max_depth"": 2}",0.8505677071466545,14
S8,xgboost,"xgboost:max_depth=2,learning_rate=0.03,class_weight_mode=training_ratio",1,"{""class_weight_mode"": ""training_ratio"", ""learning_rate"": 0.03, ""max_depth"": 2}",0.8471614642667273,14
S8,xgboost,"xgboost:max_depth=2,learning_rate=0.1,class_weight_mode=none",2,"{""class_weight_mode"": ""none"", ""learning_rate"": 0.1, ""max_depth"": 2}",0.8633382699172173,14
S8,xgboost,"xgboost:max_depth=2,learning_rate=0.1,class_weight_mode=training_ratio",3,"{""class_weight_mode"": ""training_ratio"", ""learning_rate"": 0.1, ""max_depth"": 2}",0.8646008961798436,14
S8,xgboost,"xgboost:max_depth=3,learning_rate=0.03,class_weight_mode=none",4,"{""class_weight_mode"": ""none"", ""learning_rate"": 0.03, ""max_depth"": 3}",0.8379338497759551,14
S8,xgboost,"xgboost:max_depth=3,learning_rate=0.03,class_weight_mode=training_ratio",5,"{""class_weight_mode"": ""training_ratio"", ""learning_rate"": 0.03, ""max_depth"": 3}",0.8517467912204755,14
S8,xgboost,"xgboost:max_depth=3,learning_rate=0.1,class_weight_mode=none",6,"{""class_weight_mode"": ""none"", ""learning_rate"": 0.1, ""max_depth"": 3}",0.8560074428495481,14
S8,xgboost,"xgboost:max_depth=3,learning_rate=0.1,class_weight_mode=training_ratio",7,"{""class_weight_mode"": ""training_ratio"", ""learning_rate"": 0.1, ""max_depth"": 3}",0.861270600744285,14
S9,logistic,"logistic:C=0.1,class_weight=None",0,"{""C"": 0.1, ""class_weight"": null}",0.7921812106022631,14
S9,logistic,"logistic:C=0.1,class_weight=balanced",1,"{""C"": 0.1, ""class_weight"": ""balanced""}",0.7933299156983367,14
